Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,name
30/09/2021,41551.26953,44092.60156,41444.58203,43790.89453,31141681925,0,0,BTC,Bitcoin
01/10/2021,43816.74219,48436.01172,43320.02344,48116.94141,42850641582,0,0,BTC,Bitcoin
02/10/2021,48137.46875,48282.0625,47465.49609,47711.48828,30614346492,0,0,BTC,Bitcoin
03/10/2021,47680.02734,49130.69141,47157.28906,48199.95313,26638115879,0,0,BTC,Bitcoin
04/10/2021,48208.90625,49456.77734,47045.00391,49112.90234,33383173002,0,0,BTC,Bitcoin
05/10/2021,49174.96094,51839.98438,49072.83984,51514.8125,35873904236,0,0,BTC,Bitcoin
06/10/2021,51486.66406,55568.46484,50488.19141,55361.44922,49034730168,0,0,BTC,Bitcoin
07/10/2021,55338.625,55338.625,53525.46875,53805.98438,36807860413,0,0,BTC,Bitcoin
08/10/2021,53802.14453,55922.98047,53688.05469,53967.84766,34800873924,0,0,BTC,Bitcoin
09/10/2021,53929.78125,55397.94531,53735.14453,54968.22266,32491211414,0,0,BTC,Bitcoin
10/10/2021,54952.82031,56401.30469,54264.25781,54771.57813,39527792364,0,0,BTC,Bitcoin
11/10/2021,54734.125,57793.03906,54519.76563,57484.78906,42637331698,0,0,BTC,Bitcoin
12/10/2021,57526.83203,57627.87891,54477.97266,56041.05859,41083758949,0,0,BTC,Bitcoin
13/10/2021,56038.25781,57688.66016,54370.97266,57401.09766,41684252783,0,0,BTC,Bitcoin
14/10/2021,57372.83203,58478.73438,56957.07422,57321.52344,36615791366,0,0,BTC,Bitcoin
15/10/2021,57345.90234,62757.12891,56868.14453,61593.94922,51780081801,0,0,BTC,Bitcoin
16/10/2021,61609.52734,62274.47656,60206.12109,60892.17969,34250964237,0,0,BTC,Bitcoin
17/10/2021,60887.65234,61645.52344,59164.46875,61553.61719,29032367511,0,0,BTC,Bitcoin
18/10/2021,61548.80469,62614.66016,60012.75781,62026.07813,38055562075,0,0,BTC,Bitcoin
19/10/2021,62043.16406,64434.53516,61622.93359,64261.99219,40471196346,0,0,BTC,Bitcoin
20/10/2021,64284.58594,66930.39063,63610.67578,65992.83594,40788955582,0,0,BTC,Bitcoin
21/10/2021,66002.23438,66600.54688,62117.41016,62210.17188,45908121370,0,0,BTC,Bitcoin
22/10/2021,62237.89063,63715.02344,60122.79688,60692.26563,38434082775,0,0,BTC,Bitcoin
23/10/2021,60694.62891,61743.87891,59826.52344,61393.61719,26882546034,0,0,BTC,Bitcoin
24/10/2021,61368.34375,61505.80469,59643.34375,60930.83594,27316183882,0,0,BTC,Bitcoin
25/10/2021,60893.92578,63729.32422,60691.80078,63039.82422,31064911614,0,0,BTC,Bitcoin
26/10/2021,63032.76172,63229.02734,59991.16016,60363.79297,34878965587,0,0,BTC,Bitcoin
27/10/2021,60352,61435.18359,58208.1875,58482.38672,43657076893,0,0,BTC,Bitcoin
28/10/2021,58470.73047,62128.63281,58206.91797,60622.13672,45257083247,0,0,BTC,Bitcoin
29/10/2021,60624.87109,62927.60938,60329.96484,62227.96484,36856881767,0,0,BTC,Bitcoin
